Тип,Название,Срок/Дата,Категория,Статус
Задача,Решить 2 задачи по пайтону,2025-03-24 10:20,Работа,Выполнено
Задача,Поездка к зубному,2025-03-25 10:20,Срочное,Не выполнено
Задача,Дать объявления о сдаче в аренду квартир,2025-03-28 00:00,Работа,Не выполнено
Задача,Заказать батарейки для видеокамеры,2025-03-25 00:00,Личное,Не выполнено
Задача,Багаж Шахов,2025-03-25 00:00,Работа,Не выполнено
Задача,тестовая задача,2025-03-24 21:22,Срочное,Не выполнено
Задача,Подать показания эл.энергии,2025-03-25 00:00,Срочное,Не выполнено
Заметка,Аудио-книга 33 стратегии войны,2025-03-24 10:22,Без категории,
Заметка,Тренинг Стеб,2025-03-25 04:19,Медиа-контент,
Заметка,Аудио-книга Run Хакер,2025-03-25 07:43,Медиа-контент,
